t = 0.5051
           x           u
      0.0000      0.0000      0.0000
      0.0201      0.0786      0.0000
      0.0402      0.1539      0.0000
      0.0603      0.2257      0.0000
      0.0804      0.2943      0.0000
      0.1005      0.3595      0.0000
      0.1206      0.4215      0.0000
      0.1407      0.4802      0.0000
      0.1608      0.5358      0.0000
      0.1809      0.5882      0.0000
      0.2010      0.6374      0.0000
      0.2211      0.6835      0.0000
      0.2412      0.7265      0.0000
      0.2613      0.7664      0.0000
      0.2814      0.8031      0.0000
      0.3015      0.8367      0.0000
      0.3216      0.8672      0.0000
      0.3417      0.8946      0.0000
      0.3618      0.9189     -0.0000
      0.3819      0.9400     -0.0000
      0.4020      0.9579     -0.0000
      0.4221      0.9727     -0.0000
      0.4422      0.9844     -0.0000
      0.4623      0.9928     -0.0000
      0.4824      0.9981     -0.0000
      0.5025      1.0001     -0.0000
      0.5226      0.9989     -0.0000
      0.5427      0.9944     -0.0000
      0.5628      0.9867     -0.0000
      0.5829      0.9757     -0.0000
      0.6030      0.9614     -0.0000
      0.6231      0.9437     -0.0000
      0.6432      0.9228     -0.0000
      0.6633      0.8986      0.0000
      0.6834      0.8710      0.0000
      0.7035      0.8400      0.0000
      0.7236      0.8057      0.0000
      0.7437      0.7681      0.0000
      0.7638      0.7271      0.0000
      0.7839      0.6828      0.0000
      0.8040      0.6352      0.0000
      0.8241      0.5842      0.0000
      0.8442      0.5299      0.0000
      0.8643      0.4723      0.0000
      0.8844      0.4115      0.0000
      0.9045      0.3474     -0.0000
      0.9246      0.2801      0.0000
      0.9447     -0.5657     -0.0000
      0.9648      0.1563      0.0000
      0.9849      1.1364     -0.0000
      1.0050     -0.0249      0.0000
      1.0251     -0.2016      0.0000
      1.0452      0.2047      0.0000
      1.0653      0.1000     -0.0000
      1.0854      0.1000      0.0000
      1.1055      0.1000      0.0000
      1.1256      0.1000      0.0000
      1.1457      0.1000      0.0000
      1.1658      0.1000      0.0000
      1.1859      0.1000      0.0000
      1.2060      0.1000      0.0000
      1.2261      0.1000      0.0000
      1.2462      0.1000      0.0000
      1.2663      0.1000      0.0000
      1.2864      0.1000      0.0000
      1.3065      0.1000      0.0000
      1.3266      0.1000      0.0000
      1.3467      0.1000      0.0000
      1.3668      0.1000      0.0000
      1.3869      0.1000      0.0000
      1.4070      0.1000      0.0000
      1.4271      0.1000      0.0000
      1.4472      0.1000      0.0000
      1.4673      0.1000      0.0000
      1.4874      0.1000      0.0000
      1.5075      0.1000      0.0000
      1.5276      0.1000      0.0000
      1.5477      0.1000      0.0000
      1.5678      0.1000      0.0000
      1.5879      0.1000      0.0000
      1.6080      0.1000      0.0000
      1.6281      0.1000      0.0000
      1.6482      0.1000      0.0000
      1.6683      0.1000      0.0000
      1.6884      0.1000      0.0000
      1.7085      0.1000      0.0000
      1.7286      0.1000      0.0000
      1.7487      0.1000      0.0000
      1.7688      0.1000      0.0000
      1.7889      0.1000      0.0000
      1.8090      0.1000      0.0000
      1.8291      0.1000      0.0000
      1.8492      0.1000      0.0000
      1.8693      0.1000      0.0000
      1.8894      0.1000      0.0000
      1.9095      0.1000      0.0000
      1.9296      0.1000      0.0000
      1.9497      0.1000      0.0000
      1.9698      0.1000      0.0000
      1.9899      0.1000      0.0000
      2.0101      0.1000      0.0000
      2.0302      0.1000      0.0000
      2.0503      0.1000      0.0000
      2.0704      0.1000      0.0000
      2.0905      0.1000      0.0000
      2.1106      0.1000      0.0000
      2.1307      0.1000      0.0000
      2.1508      0.1000      0.0000
      2.1709      0.1000      0.0000
      2.1910      0.1000      0.0000
      2.2111      0.1000      0.0000
      2.2312      0.1000      0.0000
      2.2513      0.1000      0.0000
      2.2714      0.1000      0.0000
      2.2915      0.1000      0.0000
      2.3116      0.1000      0.0000
      2.3317      0.1000      0.0000
      2.3518      0.1000      0.0000
      2.3719      0.1000      0.0000
      2.3920      0.1000      0.0000
      2.4121      0.1000      0.0000
      2.4322      0.1000      0.0000
      2.4523      0.1000      0.0000
      2.4724      0.1000      0.0000
      2.4925      0.1000      0.0000
      2.5126      0.1000      0.0000
      2.5327      0.1000      0.0000
      2.5528      0.1000      0.0000
      2.5729      0.1000      0.0000
      2.5930      0.1000      0.0000
      2.6131      0.1000      0.0000
      2.6332      0.1000      0.0000
      2.6533      0.1000      0.0000
      2.6734      0.1000      0.0000
      2.6935      0.1000      0.0000
      2.7136      0.1000      0.0000
      2.7337      0.1000      0.0000
      2.7538      0.1000      0.0000
      2.7739      0.1000      0.0000
      2.7940      0.1000      0.0000
      2.8141      0.1000      0.0000
      2.8342      0.1000      0.0000
      2.8543      0.1000      0.0000
      2.8744      0.1000      0.0000
      2.8945      0.1000      0.0000
      2.9146      0.1000      0.0000
      2.9347      0.1000      0.0000
      2.9548      0.1000      0.0000
      2.9749      0.1000      0.0000
      2.9950      0.1000      0.0000
      3.0151      0.1000      0.0000
      3.0352      0.1000      0.0000
      3.0553      0.1000      0.0000
      3.0754      0.1000      0.0000
      3.0955      0.1000      0.0000
      3.1156      0.1000      0.0000
      3.1357      0.1000      0.0000
      3.1558      0.1000      0.0000
      3.1759      0.1000      0.0000
      3.1960      0.1000      0.0000
      3.2161      0.1000      0.0000
      3.2362      0.1000      0.0000
      3.2563      0.1000      0.0000
      3.2764      0.1000      0.0000
      3.2965      0.1000      0.0000
      3.3166      0.1000      0.0000
      3.3367      0.1000      0.0000
      3.3568      0.1000      0.0000
      3.3769      0.1000      0.0000
      3.3970      0.1000      0.0000
      3.4171      0.1000      0.0000
      3.4372      0.1000      0.0000
      3.4573      0.1000      0.0000
      3.4774      0.1000      0.0000
      3.4975      0.1000      0.0000
      3.5176      0.1000      0.0000
      3.5377      0.1000      0.0000
      3.5578      0.1000      0.0000
      3.5779      0.1000      0.0000
      3.5980      0.1000      0.0000
      3.6181      0.1000      0.0000
      3.6382      0.1000      0.0000
      3.6583      0.1000      0.0000
      3.6784      0.1000      0.0000
      3.6985      0.1000      0.0000
      3.7186      0.1000      0.0000
      3.7387      0.1000      0.0000
      3.7588      0.1000      0.0000
      3.7789      0.1000      0.0000
      3.7990      0.1000      0.0000
      3.8191      0.1000      0.0000
      3.8392      0.1000      0.0000
      3.8593      0.1000      0.0000
      3.8794      0.1000      0.0000
      3.8995      0.1000      0.0000
      3.9196      0.1000      0.0000
      3.9397      0.1000      0.0000
      3.9598      0.1000      0.0000
      3.9799      0.1000      0.0000
      4.0000      0.1000      0.0000
