t = 0.0010
           x           u
      0.0000      0.5000
      0.0101      0.5200
      0.0202      0.5396
      0.0303      0.5588
      0.0404      0.5775
      0.0505      0.5959
      0.0606      0.6139
      0.0707      0.6314
      0.0808      0.6486
      0.0909      0.6653
      0.1010      0.6816
      0.1111      0.6975
      0.1212      0.7130
      0.1313      0.7281
      0.1414      0.7428
      0.1515      0.7571
      0.1616      0.7710
      0.1717      0.7845
      0.1818      0.7975
      0.1919      0.8102
      0.2020      0.8224
      0.2121      0.8343
      0.2222      0.8457
      0.2323      0.8567
      0.2424      0.8673
      0.2525      0.8775
      0.2626      0.8873
      0.2727      0.8967
      0.2828      0.9057
      0.2929      0.9142
      0.3030      0.9224
      0.3131      0.9302
      0.3232      0.9375
      0.3333      0.9444
      0.3434      0.9510
      0.3535      0.9571
      0.3636      0.9628
      0.3737      0.9681
      0.3838      0.9730
      0.3939      0.9775
      0.4040      0.9816
      0.4141      0.9853
      0.4242      0.9885
      0.4343      0.9914
      0.4444      0.9938
      0.4545      0.9959
      0.4646      0.9975
      0.4747      0.9987
      0.4848      0.9995
      0.4949      0.9999
      0.5051      0.0417
      0.5152      0.0469
      0.5253      0.0524
      0.5354      0.0582
      0.5455      0.0642
      0.5556      0.0705
      0.5657      0.0771
      0.5758      0.0839
      0.5859      0.0909
      0.5960      0.0982
      0.6061      0.1056
      0.6162      0.1131
      0.6263      0.1208
      0.6364      0.1287
      0.6465      0.1366
      0.6566      0.1447
      0.6667      0.1528
      0.6768      0.1609
      0.6869      0.1691
      0.6970      0.1773
      0.7071      0.1854
      0.7172      0.1935
      0.7273      0.2016
      0.7374      0.2096
      0.7475      0.2175
      0.7576      0.2252
      0.7677      0.2329
      0.7778      0.2403
      0.7879      0.2476
      0.7980      0.2547
      0.8081      0.2616
      0.8182      0.2683
      0.8283      0.2747
      0.8384      0.2808
      0.8485      0.2867
      0.8586      0.2922
      0.8687      0.2975
      0.8788      0.3025
      0.8889      0.3071
      0.8990      0.3113
      0.9091      0.3153
      0.9192      0.3188
      0.9293      0.3220
      0.9394      0.3248
      0.9495      0.3272
      0.9596      0.3292
      0.9697      0.3308
      0.9798      0.3321
      0.9899      0.3329
      1.0000      0.3333
