t = 0.0000
           x           u
      0.0000      0.0000      0.0000
      0.0202      0.0792      0.0002
      0.0404      0.1551      0.0012
      0.0606      0.2277      0.0039
      0.0808      0.2971      0.0087
      0.1010      0.3632      0.0160
      0.1212      0.4261      0.0258
      0.1414      0.4857      0.0382
      0.1616      0.5420      0.0531
      0.1818      0.5950      0.0702
      0.2020      0.6448      0.0894
      0.2222      0.6914      0.1102
      0.2424      0.7346      0.1321
      0.2626      0.7746      0.1549
      0.2828      0.8113      0.1780
      0.3030      0.8448      0.2010
      0.3232      0.8750      0.2233
      0.3434      0.9019      0.2446
      0.3636      0.9256      0.2643
      0.3838      0.9460      0.2822
      0.4040      0.9632      0.2978
      0.4242      0.9770      0.3109
      0.4444      0.9877      0.3211
      0.4646      0.9950      0.3284
      0.4848      0.9991      0.3324
      0.5051      0.9999      0.3332
      0.5253      0.9974      0.3308
      0.5455      0.9917      0.3251
      0.5657      0.9828      0.3164
      0.5859      0.9705      0.3047
      0.6061      0.9550      0.2903
      0.6263      0.9362      0.2735
      0.6465      0.9142      0.2547
      0.6667      0.8889      0.2341
      0.6869      0.8603      0.2123
      0.7071      0.8285      0.1896
      0.7273      0.7934      0.1665
      0.7475      0.7550      0.1435
      0.7677      0.7134      0.1210
      0.7879      0.6685      0.0996
      0.8081      0.6203      0.0796
      0.8283      0.5689      0.0614
      0.8485      0.5142      0.0453
      0.8687      0.4563      0.0317
      0.8889      0.3951      0.0206
      0.9091      0.3306      0.0120
      0.9293      0.2628      0.0061
      0.9495      0.1918      0.0024
      0.9697      0.1175      4.6228
      0.9899      0.0400     -0.0734
      1.0101      0.1000     -2.7801
      1.0303      0.1000      1.2133
      1.0505      0.1000      0.0003
      1.0707      0.1000      0.0003
      1.0909      0.1000      0.0003
      1.1111      0.1000      0.0003
      1.1313      0.1000      0.0003
      1.1515      0.1000      0.0003
      1.1717      0.1000      0.0003
      1.1919      0.1000      0.0003
      1.2121      0.1000      0.0003
      1.2323      0.1000      0.0003
      1.2525      0.1000      0.0003
      1.2727      0.1000      0.0003
      1.2929      0.1000      0.0003
      1.3131      0.1000      0.0003
      1.3333      0.1000      0.0003
      1.3535      0.1000      0.0003
      1.3737      0.1000      0.0003
      1.3939      0.1000      0.0003
      1.4141      0.1000      0.0003
      1.4343      0.1000      0.0003
      1.4545      0.1000      0.0003
      1.4747      0.1000      0.0003
      1.4949      0.1000      0.0003
      1.5152      0.1000      0.0003
      1.5354      0.1000      0.0003
      1.5556      0.1000      0.0003
      1.5758      0.1000      0.0003
      1.5960      0.1000      0.0003
      1.6162      0.1000      0.0003
      1.6364      0.1000      0.0003
      1.6566      0.1000      0.0003
      1.6768      0.1000      0.0003
      1.6970      0.1000      0.0003
      1.7172      0.1000      0.0003
      1.7374      0.1000      0.0003
      1.7576      0.1000      0.0003
      1.7778      0.1000      0.0003
      1.7980      0.1000      0.0003
      1.8182      0.1000      0.0003
      1.8384      0.1000      0.0003
      1.8586      0.1000      0.0003
      1.8788      0.1000      0.0003
      1.8990      0.1000      0.0003
      1.9192      0.1000      0.0003
      1.9394      0.1000      0.0003
      1.9596      0.1000      0.0003
      1.9798      0.1000      0.0003
      2.0000      0.1000      0.0003
