t = 0.0010
           x           u
      0.0000     -0.0000      0.0000
      0.0202      0.0789      0.4079
      0.0404      0.1565      0.0305
      0.0606      0.2277      0.2075
      0.0808      0.2980     -0.0104
      0.1010      0.3627      0.0780
      0.1212      0.4265      0.0010
      0.1414      0.4848      0.0147
      0.1616      0.5421      0.0564
      0.1818      0.5939     -0.0048
      0.2020      0.6448      0.1386
      0.2222      0.6901      0.0010
      0.2424      0.7345      0.2329
      0.2626      0.7733      0.0171
      0.2828      0.8112      0.3265
      0.3030      0.8436      0.0309
      0.3232      0.8750      0.4076
      0.3434      0.9009      0.0303
      0.3636      0.9258      0.4648
      0.3838      0.9451      0.0044
      0.4040      0.9636      0.4878
      0.4242      0.9765     -0.0566
      0.4444      0.9884      0.4682
      0.4646      0.9948     -0.1588
      0.4848      1.0002      0.4021
      0.5051      1.0001     -0.3028
      0.5253      0.9990      0.2926
      0.5455      0.9923     -0.4801
      0.5657      0.9846      0.1534
      0.5859      0.9713     -0.6697
      0.6061      0.9571      0.0127
      0.6263      0.9371     -0.8338
      0.6465      0.9162     -0.0838
      0.6667      0.8895     -0.9158
      0.6869      0.8618     -0.0716
      0.7071      0.8283     -0.8405
      0.7273      0.7938      0.1284
      0.7475      0.7533     -0.5230
      0.7677      0.7118      0.5937
      0.7879      0.6642      0.1069
      0.8081      0.6158      1.3596
      0.8283      0.5612      1.0456
      0.8485      0.5061      2.3291
      0.8687      0.4451      2.0946
      0.8889      0.3844      3.0907
      0.9091      0.3190      2.6384
      0.9293      0.2565      2.6051
      0.9495      0.1932      1.4642
      0.9697      0.1404      1.8815
      0.9899      0.0967     -0.3047
      1.0101      0.0940     -0.3678
      1.0303      0.0878     -0.1587
      1.0505      0.1000     -0.2468
      1.0707      0.0978      0.1578
      1.0909      0.1018     -0.0780
      1.1111      0.0997      0.1175
      1.1313      0.1002     -0.1102
      1.1515      0.1005      0.1595
      1.1717      0.0979     -0.3083
      1.1919      0.1030      0.8537
      1.2121      0.0899     -1.2594
      1.2323      0.1268      4.0452
      1.2525      0.0828     -9.6968
      1.2727      0.2869      9.4704
      1.2929     -0.0761    -68.6074
      1.3131      0.2272     64.9726
      1.3333     -3.6898   -108.7217
      1.3535     -4.2430   1259.3462
      1.3737    -26.7780   1259.8998
      1.3939      7.4597   9730.1403
      1.4141     -1.8237  -1059.8116
      1.4343      1.0535  10337.4053
      1.4545     -0.3997  -1361.5889
      1.4747      6.1803  10498.8845
      1.4949      2.9217  -3290.8169
      1.5152     62.5964   9613.3118
      1.5354     -6.0255 -23068.6909
      1.5556     -2.2132  11641.8232
      1.5758      2.0810 -22277.3093
      1.5960      2.5147  12968.1240
      1.6162     13.5387 -20895.4739
      1.6364     -2.9869  20451.5386
      1.6566      1.0920 -23087.2575
      1.6768      7.2496  21342.8704
      1.6970     -0.8338 -25378.9529
      1.7172      4.5317  21156.4483
      1.7374      5.3049 -23163.0043
      1.7576     36.3566  24184.0307
      1.7778    -10.1318  -2195.1950
      1.7980     -2.2733  18192.1153
      1.8182      0.3308  -3640.6230
      1.8384     -4.2582  17724.5105
      1.8586      5.2657  -2289.9361
      1.8788      6.0819  14058.7325
      1.8990     -0.9605  -6188.8460
      1.9192      0.4362  14678.3511
      1.9394     -0.9703  -6478.9637
      1.9596     -1.3671  14242.3217
      1.9798      0.4082  -7636.6389
      2.0000      1.0000  14075.0678
