t = 0.0041
           x           u
      0.0000      0.0000      0.0000
      0.0202      0.2481 -21288.2629
      0.0404      2.9774     13.5105
      0.0606     -0.2114 -21284.7990
      0.0808      2.2236   -102.2234
      0.1010     -0.2988 -20196.3825
      0.1212     -4.7308    207.7697
      0.1414     31.4184 -18243.0869
      0.1616      1.1746  -9531.1519
      0.1818      2.3514 -18622.0847
      0.2020      0.4897  -9972.7229
      0.2222      6.0963 -18821.3411
      0.2424      0.2382  -9533.1381
      0.2626     -2.4501 -18785.7780
      0.2828     -2.2016  -9496.0564
      0.3030     -0.7758 -17517.6349
      0.3232    -31.7248  -9198.0700
      0.3434      8.8728  -7658.6951
      0.3636     -2.7052 -12371.6424
      0.3838      3.0125  -6487.9522
      0.4040    -30.1550 -13173.7117
      0.4242      0.8810   4958.5641
      0.4444      0.5395 -13380.7005
      0.4646      8.7379   4852.8828
      0.4848     -0.3575 -12041.8890
      0.5051     -1.2021   4953.4268
      0.5253     -0.7771 -11691.1890
      0.5455      4.7804   5122.5297
      0.5657     -0.3349 -11992.1365
      0.5859     -1.4525   5258.6092
      0.6061      4.9115 -11325.5970
      0.6263     -0.9023   4195.1855
      0.6465      0.8953 -11557.5058
      0.6667      7.7022   3694.3218
      0.6869     -3.6143 -13663.1556
      0.7071     -0.4065   5420.5629
      0.7273     -3.7693 -12589.3351
      0.7475     11.7365   7916.0738
      0.7677      7.2105 -14383.1451
      0.7879     21.5539   7857.5635
      0.8081     13.8040 -18415.7780
      0.8283     22.6020   6282.7051
      0.8485      9.4538 -22452.3899
      0.8687      7.4438   5947.9028
      0.8889    -18.8335 -22253.8290
      0.9091    -30.5885  13239.9387
      0.9293     -6.0061 -11833.6507
      0.9495      2.7037  15201.8651
      0.9697     -0.1361 -12810.7175
      0.9899     -0.0829  15184.2229
      1.0101   -397.2440 -12841.2979
      1.0303     -0.0796  33365.0123
      1.0505     -0.1299 -12843.5193
      1.0707     31.4158  33403.4938
      1.0909     -0.2752 -17625.8393
      1.1111     -0.2444  33369.0463
      1.1313     -0.7766 -17765.1726
      1.1515     -0.6151  33418.4345
      1.1717      1.5157 -17871.9623
      1.1919      1.3522  32956.0482
      1.2121      2.2437 -17980.0583
      1.2323     -0.3806  32138.2537
      1.2525     -5.8027 -18078.4656
      1.2727     -2.1822  32302.1780
      1.2929     -0.5622 -18262.0575
      1.3131     -2.5748  32313.5532
      1.3333      0.4904 -18376.4004
      1.3535      1.5615  32308.6388
      1.3737     -7.5082 -18326.3801
      1.3939      0.2841  32125.7236
      1.4141     -0.5912 -18335.1707
      1.4343    -11.0548  32126.2918
      1.4545     -2.5426 -19205.8989
      1.4747      0.7380  31899.5670
      1.4949      0.5254 -19206.4121
      1.5152      4.7829  31860.1130
      1.5354     -0.5784 -17207.8284
      1.5556     -0.8936  31865.0535
      1.5758     15.2827 -17199.3496
      1.5960     -3.6429  33095.1838
      1.6162     -3.6213 -17381.5546
      1.6364      0.4990  32328.7652
      1.6566     -1.1898 -17406.1798
      1.6768     12.0019  32273.3996
      1.6970     -0.2839 -11046.4324
      1.7172      2.5837  32271.1135
      1.7374      0.4643 -11015.1153
      1.7576      8.3110  32274.8398
      1.7778     -0.8371  -9448.8628
      1.7980     -0.4753  32253.6993
      1.8182      3.3450  -9460.5224
      1.8384     -2.8526  32460.0099
      1.8586      0.3421  -9591.3678
      1.8788      1.4238  32386.5701
      1.8990      1.8813  -9543.1026
      1.9192      0.9826  32438.1637
      1.9394     -0.6217  -9398.6423
      1.9596     -0.9519  32514.8209
      1.9798      0.5120  -9477.4249
      2.0000      1.0000  32495.2367
