t = 0.0051
           x           u
      0.0000     -0.0000      0.0000
      0.0202      0.4380  15969.8844
      0.0404      0.6193     18.9801
      0.0606      1.2986  15993.0602
      0.0808      1.0554     87.1225
      0.1010      0.5213  16051.1833
      0.1212     -1.8582    121.6529
      0.1414     11.1238  15977.2535
      0.1616      0.4801    605.4381
      0.1818      1.0505  15998.7851
      0.2020     -2.5163    684.9505
      0.2222      2.6523  15761.7159
      0.2424      0.1066   1148.7998
      0.2626     28.5524  15786.8140
      0.2828     -0.9422   2232.5455
      0.3030      1.0938  15664.9681
      0.3232    -14.2106   1987.1628
      0.3434      3.0522  15473.6858
      0.3636     -0.8945   2169.6010
      0.3838      1.1756  15421.2829
      0.4040    -10.7095   2226.5264
      0.4242      0.2012  15058.3517
      0.4444      0.5718   2222.6576
      0.4646     10.6302  15095.7967
      0.4848     -0.3271   2747.8325
      0.5051      0.4787  15070.1913
      0.5253      1.5782   2774.6008
      0.5455      2.2755  15295.1791
      0.5657      1.8902   2946.9818
      0.5859     -0.4041  15528.6958
      0.6061     -0.3960   2894.4661
      0.6263      2.8407  16568.0252
      0.6465      0.6954   2070.3323
      0.6667      2.8837  16546.5692
      0.6869     -1.3664   2043.0210
      0.7071      0.7574  16358.6879
      0.7273     -1.5563   2062.8252
      0.7475      4.1524  16286.5130
      0.7677      2.0166   2250.7494
      0.7879      7.9136  16390.8888
      0.8081      4.6976   2623.0350
      0.8283      8.5523  16618.6467
      0.8485      3.3669   3024.4809
      0.8687      3.1944  16781.4138
      0.8889     -7.0485   3193.8469
      0.9091    -11.5366  16498.1149
      0.9293     -2.2719   2723.0606
      0.9495      1.0608  16403.6418
      0.9697     -0.1094   2758.4896
      0.9899     -0.1626  16372.3933
      1.0101    170.3449   2795.6224
      1.0303     -0.1726    882.2764
      1.0505     -0.1261   2846.1435
      1.0707     59.6250    872.8062
      1.0909     -0.1202  -6811.3060
      1.1111     -0.0123    836.5623
      1.1313     -1.5639  -6872.3363
      1.1515     -4.3991    827.0661
      1.1717     -9.2440  -7252.2543
      1.1919     -0.9942   -136.1229
      1.2121     13.2915  -7368.9479
      1.2323     -0.3233   1167.9058
      1.2525      0.6479  -7339.9606
      1.2727     -1.5399   1390.6772
      1.2929     -0.5542  -7242.2426
      1.3131     -3.1286   1393.3423
      1.3333      0.3685  -6998.3933
      1.3535      0.4126   1386.1250
      1.3737     -4.0881  -6973.0787
      1.3939      1.0724   1106.0081
      1.4141     -0.3231  -6917.6345
      1.4343     -4.7103   1135.2533
      1.4545     -0.9171  -6995.5556
      1.4747      0.5047   1074.1535
      1.4949      1.3328  -6979.3257
      1.5152     -7.1921   1133.0847
      1.5354     -0.3714  -7268.8326
      1.5556     -0.4203   1100.4154
      1.5758      5.6593  -7293.1083
      1.5960     -1.3897   1396.2651
      1.6162     -1.3275  -7355.1714
      1.6364      0.1487   1327.5569
      1.6566     -1.4921  -7163.7742
      1.6768      0.5574   1564.5421
      1.6970     -0.5410  -6986.7688
      1.7172     -0.2059   1563.3598
      1.7374     -0.1572  -7018.2994
      1.7576     -9.3765   1653.5147
      1.7778     -0.4366  -7024.8598
      1.7980     -0.2676   1609.2950
      1.8182      3.9325  -7036.1031
      1.8384     -0.5638   1989.8580
      1.8586     -1.0334  -7057.8239
      1.8788      0.5123   1910.5359
      1.8990      0.6195  -7242.7835
      1.9192      2.0612   1850.1514
      1.9394      0.5722  -7134.5747
      1.9596     -0.4641   1890.5899
      1.9798      0.6340  -7181.5603
      2.0000      1.0000   1878.8444
