t = 0.0021
           x           u
      0.0000     -0.0000      0.0000
      0.0202     -0.5134  33724.3983
      0.0404      9.8963   -261.3248
      0.0606     -1.8747  40306.2510
      0.0808     17.8950  -1298.7647
      0.1010      2.2611  51048.5172
      0.1212      4.8775   -421.1596
      0.1414      1.3056  54837.0058
      0.1616      1.3775  -1658.8889
      0.1818      2.6701  56386.2791
      0.2020      0.1782  -3332.0689
      0.2222      6.4705  57135.3851
      0.2424     -0.4452  -5890.5027
      0.2626      2.6318  57543.4622
      0.2828     -0.9366  -6938.7326
      0.3030      2.1097  57791.1224
      0.3232     -1.2330  -7579.0368
      0.3434      2.0319  57899.0590
      0.3636     -1.5576  -8014.6976
      0.3838      1.9956  57891.2487
      0.4040     -1.9519  -8329.6194
      0.4242      1.9701  57764.8783
      0.4444     -2.3253  -8598.4254
      0.4646      2.1184  57478.8259
      0.4848     -2.5088  -8921.1615
      0.5051      2.5264  56964.6211
      0.5253     -2.6439  -9389.7332
      0.5455      3.2843  56207.5229
      0.5657     -2.3897 -10173.7743
      0.5859      3.1909  54956.5362
      0.6061     -4.5691 -10910.4192
      0.6263      2.4208  54331.8532
      0.6465     -4.6236 -11017.2382
      0.6667      3.3143  53993.4591
      0.6869     -2.9413 -11001.8291
      0.7071      6.1508  53044.4887
      0.7273      1.3496 -11296.0694
      0.7475     12.0906  52507.4601
      0.7677      8.5238  -9104.1537
      0.7879     20.4143  54400.2044
      0.8081     16.9238  -4562.6233
      0.8283     25.7337  58384.3147
      0.8485     20.2331   1221.6684
      0.8687     19.6020  62927.8580
      0.8889     12.1932   5524.4503
      0.9091      1.8558  65320.3715
      0.9293      0.5077   5478.1583
      0.9495     -0.9571  65417.4174
      0.9697     -0.9150   4243.0866
      0.9899     -2.1817  65234.7853
      1.0101    -16.3151   3779.7228
      1.0303      1.8976  61690.2091
      1.0505     -0.4542   4141.7353
      1.0707      1.8468  61661.0533
      1.0909      0.7387   3764.8180
      1.1111      4.5255  61429.1144
      1.1313     -6.2345   2894.3956
      1.1515     -3.4032  62712.0042
      1.1717      5.8028   3589.5461
      1.1919     -1.3524  61495.4034
      1.2121     -3.2323   3870.0692
      1.2323     -4.2780  62134.0630
      1.2525     -8.6684   4746.5030
      1.2727      0.5852  64004.8001
      1.2929     -0.1305   4908.9323
      1.3131    -22.4832  64052.8879
      1.3333      1.5939  11923.1026
      1.3535     -1.1927  63296.7256
      1.3737    -11.6334  11991.3023
      1.3939      3.2603  64934.4323
      1.4141     -0.7489  11516.9654
      1.4343     -2.5089  65056.1554
      1.4545      0.1172  12167.5709
      1.4747      2.7065  65252.7695
      1.4949      1.3322  11758.9034
      1.5152     28.3963  65059.0971
      1.5354     -2.7575   7470.0679
      1.5556     -1.0407  65503.5403
      1.5758      0.9605   7651.4765
      1.5960      1.0686  65839.7226
      1.6162      6.3350   8014.0764
      1.6364     -1.3031  67671.0232
      1.6566      0.4682   7465.1779
      1.6768      3.4663  67882.7855
      1.6970     -0.1518   6975.8929
      1.7172      2.0392  67857.8206
      1.7374      2.4111   7500.5852
      1.7576     16.9905  68603.8277
      1.7778     -4.0642  12857.3655
      1.7980     -0.6667  67424.7608
      1.8182     12.1941  12739.9843
      1.8384    -10.7608  73837.6909
      1.8586     -0.4484   8065.5372
      1.8788      2.8550  71436.4560
      1.8990      2.7723   7200.5672
      1.9192      1.6563  73196.6915
      1.9394     -0.4992   7528.4240
      1.9596     -1.6094  73199.1187
      1.9798      0.3477   7557.7247
      2.0000      1.0000  73235.3746
