t = 0.0092
           x           u
      0.0000     -0.0000      0.0000
      0.0202     -1.3384-465620674.7051
      0.0404     -5.7468 -11132.9329
      0.0606     -3.4191-465645212.0695
      0.0808     -0.9187 -15687.2280
      0.1010    -11.3259-465642881.3700
      0.1212      0.3523 -13258.6684
      0.1414     91.4714-465643002.1180
      0.1616      7.6285-124834.7650
      0.1818     51.1308-465637233.9360
      0.2020    549.3382-161099.4435
      0.2222    -10.0219-466006834.3163
      0.2424    -79.4796-156759.5616
      0.2626     -7.6216-465947269.2536
      0.2828    -22.4064-142967.9779
      0.3030    -48.2452-465998152.5878
      0.3232    -20.7922-286562.2301
      0.3434     57.3694-466039353.0549
      0.3636     -8.0965-201724.5674
      0.3838    -12.7694-466055098.3012
      0.4040   9573.0056-226799.9366
      0.4242     11.2365-447049584.2682
      0.4444    -31.3685-204979.6126
      0.4646    109.1798-447113965.7267
      0.4848   -635.7813  14297.8999
      0.5051   1025.4593-448383071.6556
      0.5253   1027.36312049147.6942
      0.5455    229.4002-446347823.6244
      0.5657  -1959.40162504179.9651
      0.5859   -275.1906-450270907.6175
      0.6061     78.61541958154.2255
      0.6263  -2401.1168-450115590.2452
      0.6465    100.5013-2777688.4733
      0.6667     63.9013-449914464.8057
      0.6869     58.7483-2646526.0351
      0.7071     -7.0908-449783841.0360
      0.7273      4.0876-2652437.2220
      0.7475     11.6879-449774649.7477
      0.7677     -0.0348-2622539.9627
      0.7879     23.4771-449777954.7442
      0.8081      2.1784-2575725.0154
      0.8283     -0.5536-449774613.9863
      0.8485     26.4652-2583209.8291
      0.8687     16.3379-449763213.0951
      0.8889     10.5064-2666588.2672
      0.9091    219.6537-449802100.4457
      0.9293    232.0059-2781846.2152
      0.9495     -9.4741-449874790.2903
      0.9697     -4.9498-2767156.3805
      0.9899     15.2045-449879524.6281
      1.0101    127.6582-2739584.7429
      1.0303   -103.1802-449604926.0262
      1.0505    -27.4712-2940257.8308
      1.0707  -3978.3181-449658988.6355
      1.0909     22.4542-11266198.8276
      1.1111     -3.2884-449615547.7894
      1.1313     70.6665-11272329.7928
      1.1515   -125.0448-449469613.8966
      1.1717      8.3727-11514092.2294
      1.1919    -38.6934-449453186.4291
      1.2121     -0.4361-11585710.1969
      1.2323   -108.5969-449438524.9032
      1.2525   -754.4388-11641744.6443
      1.2727    832.3289-450051188.5618
      1.2929   -770.4745-10981032.9899
      1.3131   -250.8933-450676869.2505
      1.3333     -0.1626-11165215.4218
      1.3535     -6.9784-450679795.8895
      1.3737    -15.4959-11159536.3344
      1.3939   -123.7593-450565096.8564
      1.4141    -87.4853-11343480.5348
      1.4343  -1303.0176-450666323.9419
      1.4545    -90.7339-12414002.2580
      1.4747   -241.2359-450722846.0036
      1.4949    446.5623-12581971.6592
      1.5152   -257.2185-450371214.0340
      1.5354  -2906.4321-12802288.7299
      1.5556   -738.7100-453130319.2418
      1.5758  -3952.7950-13406761.3894
      1.5960   1968.6017-456323299.0567
      1.6162    527.5589-11817814.7377
      1.6364    246.3527-455925379.6705
      1.6566    820.9989-11635687.3921
      1.6768     97.6540-455210567.0107
      1.6970     44.3586-11569918.0196
      1.7172   -110.1552-455193387.0542
      1.7374    -20.7492-11476715.2021
      1.7576    -13.9465-455149157.0200
      1.7778     -0.8024-11397650.7403
      1.7980    -35.0533-455146112.2881
      1.8182      4.9166-11379376.4157
      1.8384      9.9081-455121243.9907
      1.8586     -3.1887-11344333.2852
      1.8788     -0.9377-455118408.7270
      1.8990      2.0390-11336438.4306
      1.9192     -0.1788-455122714.2516
      1.9394    -64.2471-11325493.9110
      1.9596      0.1290-455067412.6760
      1.9798      0.7822-11317544.9076
      2.0000      1.0000-455065419.9184
