t = 0.0092
           x           u
      0.0000     -0.5659
      0.0101     -7.8402
      0.0202    -29.6629
      0.0303    -18.6426
      0.0404      2.5824
      0.0505     -3.7184
      0.0606     -1.0751
      0.0707     -0.9731
      0.0808     -1.2472
      0.0909     -1.1570
      0.1010     -0.9170
      0.1111     -1.1388
      0.1212     -0.7008
      0.1313     -0.9622
      0.1414     -1.6828
      0.1515     -0.9865
      0.1616      2.6365
      0.1717      2.4208
      0.1818     -1.0073
      0.1919     -1.0213
      0.2020     -1.9018
      0.2121     -2.1371
      0.2222     -2.0620
      0.2323     -0.6201
      0.2424     -1.1859
      0.2525     -0.9492
      0.2626     -1.1345
      0.2727     -1.0791
      0.2828     -0.9795
      0.2929     -0.9218
      0.3030     -1.0007
      0.3131     -0.9372
      0.3232     -1.1165
      0.3333     -0.9500
      0.3434     -1.0701
      0.3535     -0.9507
      0.3636     -1.0567
      0.3737     -0.9764
      0.3838     -0.9637
      0.3939     -1.1533
      0.4040     -0.9741
      0.4141     -0.9864
      0.4242     -0.9809
      0.4343     -1.0523
      0.4444     -0.5879
      0.4545     -0.4185
      0.4646     -0.4257
      0.4747     -0.5970
      0.4848     -0.9995
      0.4949     -0.9628
      0.5051     -0.9016
      0.5152     -0.9284
      0.5253     -1.1957
      0.5354     -1.0675
      0.5455     -1.2323
      0.5556     -1.1450
      0.5657     -1.1906
      0.5758     -1.2486
      0.5859     -1.1649
      0.5960     -1.1305
      0.6061     -0.0524
      0.6162      0.4066
      0.6263      0.6256
      0.6364      0.2327
      0.6465     -1.2167
      0.6566     -1.1126
      0.6667     -1.1453
      0.6768     -0.6831
      0.6869     -0.7318
      0.6970     -1.3357
      0.7071     -1.1319
      0.7172     -1.2870
      0.7273     -1.7078
      0.7374     -1.3017
      0.7475     -1.1612
      0.7576     -1.3464
      0.7677     -1.4342
      0.7778     -1.3874
      0.7879     -1.2204
      0.7980     -1.3847
      0.8081     -1.3433
      0.8182     -1.2880
      0.8283     -1.2290
      0.8384     -1.3419
      0.8485     -1.4012
      0.8586     -1.2852
      0.8687     -1.3680
      0.8788     -0.9950
      0.8889     -0.9848
      0.8990     -1.3275
      0.9091     -1.0779
      0.9192     -1.3361
      0.9293     -1.3562
      0.9394     -1.6866
      0.9495     -2.2474
      0.9596     -1.1506
      0.9697     -1.5172
      0.9798     -1.8447
      0.9899     -1.8447
      1.0000     -1.8447
