t = 0.0031
           x           u
      0.0000    -25.6710
      0.0101    -20.9412
      0.0202     -6.7516
      0.0303     -1.0780
      0.0404     -0.8019
      0.0505     -0.7257
      0.0606     -0.1386
      0.0707     -0.2338
      0.0808     -0.9195
      0.0909     -0.6139
      0.1010     -0.6701
      0.1111     -1.0026
      0.1212     -1.1411
      0.1313     -0.9935
      0.1414     -0.8499
      0.1515     -1.0007
      0.1616     -1.0859
      0.1717     -0.9474
      0.1818     -1.0367
      0.1919     -0.9683
      0.2020     -1.0669
      0.2121     -0.9423
      0.2222     -1.0802
      0.2323     -0.9420
      0.2424     -1.0998
      0.2525     -0.9598
      0.2626     -1.0547
      0.2727     -0.9652
      0.2828     -1.0977
      0.2929     -0.9624
      0.3030     -1.0742
      0.3131     -0.9811
      0.3232     -1.1133
      0.3333     -0.9732
      0.3434     -1.1127
      0.3535     -0.9652
      0.3636     -1.0440
      0.3737     -1.0442
      0.3838     -0.9830
      0.3939     -1.1486
      0.4040     -1.0400
      0.4141     -1.1298
      0.4242     -1.1383
      0.4343     -1.1786
      0.4444     -1.0465
      0.4545     -1.1335
      0.4646     -1.1852
      0.4747     -1.0483
      0.4848     -1.1864
      0.4949     -1.0539
      0.5051     -1.1737
      0.5152     -1.0808
      0.5253     -1.2164
      0.5354     -1.0607
      0.5455     -1.2168
      0.5556     -1.0851
      0.5657     -1.1941
      0.5758     -1.1292
      0.5859     -1.2266
      0.5960     -1.1312
      0.6061     -1.1797
      0.6162     -1.2384
      0.6263     -1.1563
      0.6364     -1.1215
      0.6465     -1.2272
      0.6566     -1.1552
      0.6667     -1.3244
      0.6768     -1.3599
      0.6869     -1.3969
      0.6970     -1.2398
      0.7071     -1.3314
      0.7172     -1.3315
      0.7273     -1.7121
      0.7374     -1.3209
      0.7475     -1.1949
      0.7576     -1.3549
      0.7677     -1.2214
      0.7778     -1.3428
      0.7879     -1.2319
      0.7980     -1.3823
      0.8081     -1.2696
      0.8182     -1.3933
      0.8283     -1.2606
      0.8384     -1.3987
      0.8485     -1.3183
      0.8586     -1.4105
      0.8687     -1.3685
      0.8788     -1.3547
      0.8889     -1.2961
      0.8990     -1.4601
      0.9091     -1.3399
      0.9192     -1.4826
      0.9293     -1.3522
      0.9394     -1.4961
      0.9495     -1.3778
      0.9596     -1.6779
      0.9697     -1.7563
      0.9798     -1.7726
      0.9899     -1.7726
      1.0000     -1.7726
