t = 0.0062
           x           u
      0.0000     52.5988
      0.0101     49.0176
      0.0202     38.2739
      0.0303     17.3383
      0.0404     -2.1926
      0.0505     -0.9917
      0.0606     -0.7674
      0.0707     -1.0540
      0.0808     -0.7835
      0.0909     -0.9017
      0.1010     -1.0907
      0.1111     -0.8549
      0.1212     -1.2200
      0.1313     -0.9716
      0.1414     -1.1301
      0.1515     -0.9368
      0.1616     -1.0786
      0.1717     -0.9485
      0.1818     -1.0103
      0.1919     -0.8733
      0.2020     -1.8897
      0.2121     -2.1011
      0.2222     -2.0397
      0.2323     -0.6322
      0.2424     -1.2406
      0.2525     -1.0072
      0.2626     -0.9502
      0.2727     -1.1387
      0.2828     -1.0648
      0.2929     -0.9542
      0.3030     -1.0867
      0.3131     -0.9550
      0.3232     -1.1221
      0.3333     -0.9574
      0.3434     -1.1127
      0.3535     -0.9593
      0.3636     -1.0823
      0.3737     -1.0141
      0.3838     -0.8914
      0.3939     -0.8899
      0.4040     -1.0180
      0.4141     -1.0654
      0.4242     -1.0006
      0.4343     -1.1433
      0.4444     -0.7196
      0.4545     -0.6340
      0.4646     -0.7806
      0.4747     -1.2714
      0.4848     -1.2844
      0.4949     -1.3121
      0.5051     -1.3186
      0.5152     -1.2901
      0.5253     -1.0747
      0.5354     -1.1982
      0.5455     -1.0574
      0.5556     -1.1961
      0.5657     -1.1194
      0.5758     -1.1974
      0.5859     -1.2446
      0.5960     -1.1154
      0.6061     -1.1773
      0.6162     -1.1154
      0.6263     -1.2550
      0.6364     -1.1135
      0.6465     -1.2385
      0.6566     -1.1728
      0.6667     -1.0820
      0.6768     -1.1099
      0.6869     -1.3597
      0.6970     -1.2861
      0.7071     -1.3445
      0.7172     -1.2032
      0.7273     -0.8076
      0.7374     -1.1986
      0.7475     -1.2195
      0.7576     -1.3164
      0.7677     -1.2151
      0.7778     -1.3164
      0.7879     -1.2247
      0.7980     -1.3634
      0.8081     -1.2832
      0.8182     -1.3633
      0.8283     -1.2625
      0.8384     -1.4345
      0.8485     -1.4433
      0.8586     -1.4653
      0.8687     -1.3710
      0.8788     -1.7391
      0.8889     -1.7659
      0.8990     -1.4595
      0.9091     -1.7172
      0.9192     -1.3711
      0.9293     -1.2880
      0.9394     -1.6864
      0.9495     -2.2734
      0.9596     -1.4201
      0.9697     -1.5544
      0.9798     -1.8526
      0.9899     -1.8526
      1.0000     -1.8526
