t = 0.0051
           x           u
      0.0000     -2.2029
      0.0101     -9.4758
      0.0202    -31.2944
      0.0303    -21.5217
      0.0404     -0.3435
      0.0505     -1.4027
      0.0606     -0.7137
      0.0707     -1.0011
      0.0808     -1.2188
      0.0909     -1.1766
      0.1010     -1.1733
      0.1111     -1.0080
      0.1212     -0.8863
      0.1313     -1.0541
      0.1414     -0.8797
      0.1515     -1.0606
      0.1616     -0.9451
      0.1717     -1.1061
      0.1818     -1.0113
      0.1919     -0.7475
      0.2020     -1.9988
      0.2121     -1.7799
      0.2222     -0.4879
      0.2323     -1.4112
      0.2424     -0.8040
      0.2525     -0.9951
      0.2626     -1.0167
      0.2727     -0.9475
      0.2828     -1.0705
      0.2929     -0.9599
      0.3030     -1.0949
      0.3131     -0.9610
      0.3232     -1.1226
      0.3333     -0.9669
      0.3434     -1.1118
      0.3535     -0.9445
      0.3636     -1.0306
      0.3737     -1.1249
      0.3838     -1.1610
      0.3939     -0.9642
      0.4040     -1.0302
      0.4141     -1.1227
      0.4242     -1.1838
      0.4343     -1.0392
      0.4444     -1.4350
      0.4545     -1.4000
      0.4646     -0.8680
      0.4747     -0.7813
      0.4848     -1.0291
      0.4949     -1.2469
      0.5051     -1.2348
      0.5152     -1.0763
      0.5253     -1.2036
      0.5354     -1.0658
      0.5455     -1.2251
      0.5556     -1.0887
      0.5657     -1.1224
      0.5758     -1.1021
      0.5859     -1.2251
      0.5960     -1.1329
      0.6061     -1.1782
      0.6162     -1.1103
      0.6263     -1.2595
      0.6364     -1.1051
      0.6465     -1.1649
      0.6566     -1.0960
      0.6667     -1.0748
      0.6768     -1.1136
      0.6869     -1.3551
      0.6970     -1.2525
      0.7071     -1.3485
      0.7172     -1.2021
      0.7273     -0.8051
      0.7374     -1.2176
      0.7475     -1.3564
      0.7576     -1.2148
      0.7677     -1.3601
      0.7778     -1.2564
      0.7879     -1.3805
      0.7980     -1.2595
      0.8081     -1.3638
      0.8182     -1.2927
      0.8283     -1.4193
      0.8384     -1.2962
      0.8485     -1.3158
      0.8586     -1.2478
      0.8687     -1.3720
      0.8788     -1.7740
      0.8889     -1.7994
      0.8990     -1.4609
      0.9091     -1.7343
      0.9192     -1.4668
      0.9293     -1.3574
      0.9394     -1.1496
      0.9495     -0.6079
      0.9596     -1.4778
      0.9697     -1.7491
      0.9798     -1.0570
      0.9899     -1.0570
      1.0000     -1.0570
