t = 0.0041
           x           u
      0.0000    -54.4565
      0.0101    -51.0580
      0.0202    -40.8626
      0.0303    -20.9620
      0.0404     -1.8709
      0.0505     -1.1140
      0.0606     -0.8288
      0.0707     -1.0214
      0.0808     -0.8421
      0.0909     -1.1009
      0.1010     -1.1898
      0.1111     -1.0034
      0.1212     -0.8742
      0.1313     -1.0125
      0.1414     -1.1591
      0.1515     -0.9941
      0.1616     -0.9204
      0.1717     -1.0906
      0.1818     -1.0121
      0.1919     -0.9029
      0.2020     -1.2306
      0.2121     -0.2030
      0.2222      0.0050
      0.2323     -1.4268
      0.2424     -0.8546
      0.2525     -1.1198
      0.2626     -1.0523
      0.2727     -1.1166
      0.2828     -0.9713
      0.2929     -1.1195
      0.3030     -0.9951
      0.3131     -1.1109
      0.3232     -0.9882
      0.3333     -1.1326
      0.3434     -1.0058
      0.3535     -1.1415
      0.3636     -1.0082
      0.3737     -1.0823
      0.3838     -1.1551
      0.3939     -0.9930
      0.4040     -1.1263
      0.4141     -1.1738
      0.4242     -1.0200
      0.4343     -1.1299
      0.4444     -0.7036
      0.4545     -0.6067
      0.4646     -0.7366
      0.4747     -1.1788
      0.4848     -1.0141
      0.4949     -1.1769
      0.5051     -1.0652
      0.5152     -1.1634
      0.5253     -1.0536
      0.5354     -1.2177
      0.5455     -1.0655
      0.5556     -1.2188
      0.5657     -1.1061
      0.5758     -1.1903
      0.5859     -1.1029
      0.5960     -1.2007
      0.6061     -1.1790
      0.6162     -1.1234
      0.6263     -1.2451
      0.6364     -1.1207
      0.6465     -1.2060
      0.6566     -1.1135
      0.6667     -1.1540
      0.6768     -1.3124
      0.6869     -1.3949
      0.6970     -1.2388
      0.7071     -1.3269
      0.7172     -1.3325
      0.7273     -1.7083
      0.7374     -1.3388
      0.7475     -1.3381
      0.7576     -1.2047
      0.7677     -1.3666
      0.7778     -1.2509
      0.7879     -1.3789
      0.7980     -1.2746
      0.8081     -1.3715
      0.8182     -1.2841
      0.8283     -1.4174
      0.8384     -1.2529
      0.8485     -1.2555
      0.8586     -1.2611
      0.8687     -1.3730
      0.8788     -1.7675
      0.8889     -1.7934
      0.8990     -1.4595
      0.9091     -1.7315
      0.9192     -1.4742
      0.9293     -1.4930
      0.9394     -1.1722
      0.9495     -0.5995
      0.9596     -1.4301
      0.9697     -1.6954
      0.9798     -1.0714
      0.9899     -1.0714
      1.0000     -1.0714
