t = 0.0021
           x           u
      0.0000      0.7186
      0.0101      0.4583
      0.0202     -0.3225
      0.0303     -0.9988
      0.0404     -1.4033
      0.0505     -1.2569
      0.0606     -0.6332
      0.0707     -1.2798
      0.0808     -1.0641
      0.0909     -0.7393
      0.1010     -0.8101
      0.1111     -0.9854
      0.1212     -0.9052
      0.1313     -1.0631
      0.1414     -0.8800
      0.1515     -1.0346
      0.1616     -0.9490
      0.1717     -1.0917
      0.1818     -1.0220
      0.1919     -0.9617
      0.2020     -1.0787
      0.2121     -0.9455
      0.2222     -1.0831
      0.2323     -0.9501
      0.2424     -1.0996
      0.2525     -0.9628
      0.2626     -1.0926
      0.2727     -0.9732
      0.2828     -1.0936
      0.2929     -0.9757
      0.3030     -1.0773
      0.3131     -0.9770
      0.3232     -1.1032
      0.3333     -0.9813
      0.3434     -1.1209
      0.3535     -0.9519
      0.3636     -1.0067
      0.3737     -1.0338
      0.3838     -0.9995
      0.3939     -1.1676
      0.4040     -1.1368
      0.4141     -1.1606
      0.4242     -1.1621
      0.4343     -1.1879
      0.4444     -1.0558
      0.4545     -1.1556
      0.4646     -1.1897
      0.4747     -1.0647
      0.4848     -1.1805
      0.4949     -1.0491
      0.5051     -1.1866
      0.5152     -1.0824
      0.5253     -1.2175
      0.5354     -1.0622
      0.5455     -1.2096
      0.5556     -1.0880
      0.5657     -1.2119
      0.5758     -1.1185
      0.5859     -1.2490
      0.5960     -1.2239
      0.6061     -1.1805
      0.6162     -1.2492
      0.6263     -1.2424
      0.6364     -1.2785
      0.6465     -1.2320
      0.6566     -1.2865
      0.6667     -1.2017
      0.6768     -1.3186
      0.6869     -1.3997
      0.6970     -1.2409
      0.7071     -1.1359
      0.7172     -1.3156
      0.7273     -1.7186
      0.7374     -1.3146
      0.7475     -1.1951
      0.7576     -1.3512
      0.7677     -1.2223
      0.7778     -1.3628
      0.7879     -1.2271
      0.7980     -1.3885
      0.8081     -1.2572
      0.8182     -1.3972
      0.8283     -1.2654
      0.8384     -1.3908
      0.8485     -1.3021
      0.8586     -1.4217
      0.8687     -1.3175
      0.8788     -1.3554
      0.8889     -1.4741
      0.8990     -1.3394
      0.9091     -1.4858
      0.9192     -1.3545
      0.9293     -1.5007
      0.9394     -1.3784
      0.9495     -1.5181
      0.9596     -1.2411
      0.9697     -1.1724
      0.9798     -1.1600
      0.9899     -1.1600
      1.0000     -1.1600
