t = 0.0072
           x           u
      0.0000     -3.5653
      0.0101    -11.1419
      0.0202    -33.8718
      0.0303    -24.7975
      0.0404     -1.0426
      0.0505      8.8532
      0.0606      8.3580
      0.0707     -0.9965
      0.0808     -1.0546
      0.0909     -1.2218
      0.1010     -1.2357
      0.1111     -0.8619
      0.1212     -1.2050
      0.1313     -0.9210
      0.1414     -1.0353
      0.1515     -1.0254
      0.1616      2.5543
      0.1717      2.3313
      0.1818     -1.0094
      0.1919     -1.0061
      0.2020     -1.9026
      0.2121     -2.1355
      0.2222     -2.0610
      0.2323     -0.6230
      0.2424     -1.1748
      0.2525     -0.9051
      0.2626     -0.9949
      0.2727     -1.1054
      0.2828     -0.9832
      0.2929     -0.9251
      0.3030     -0.9988
      0.3131     -0.9361
      0.3232     -1.1241
      0.3333     -0.9497
      0.3434     -1.0910
      0.3535     -0.9475
      0.3636     -1.0586
      0.3737     -1.1460
      0.3838     -1.1637
      0.3939     -0.9689
      0.4040     -1.0368
      0.4141     -1.0290
      0.4242     -0.9841
      0.4343     -1.1245
      0.4444     -0.6881
      0.4545     -0.5925
      0.4646     -0.7250
      0.4747     -1.1387
      0.4848     -0.9392
      0.4949     -0.9337
      0.5051     -1.1916
      0.5152     -1.2601
      0.5253     -1.0664
      0.5354     -1.1936
      0.5455     -1.0617
      0.5556     -1.1711
      0.5657     -1.0937
      0.5758     -1.0958
      0.5859     -1.0847
      0.5960     -1.2429
      0.6061     -1.1763
      0.6162     -1.0922
      0.6263     -1.2654
      0.6364     -1.1016
      0.6465     -1.1625
      0.6566     -1.0216
      0.6667     -1.0446
      0.6768     -1.2800
      0.6869     -1.4013
      0.6970     -1.2838
      0.7071     -1.1662
      0.7172     -1.1803
      0.7273     -0.8084
      0.7374     -1.2183
      0.7475     -1.3525
      0.7576     -1.2271
      0.7677     -1.3587
      0.7778     -1.2622
      0.7879     -1.3884
      0.7980     -1.2379
      0.8081     -1.3618
      0.8182     -1.2938
      0.8283     -1.2362
      0.8384     -1.4401
      0.8485     -1.4535
      0.8586     -1.4663
      0.8687     -1.3700
      0.8788     -1.6831
      0.8889     -1.7161
      0.8990     -1.4284
      0.9091     -1.7336
      0.9192     -1.4667
      0.9293     -1.3264
      0.9394     -1.6916
      0.9495     -2.2790
      0.9596     -1.4838
      0.9697     -1.5651
      0.9798     -1.8531
      0.9899     -1.8531
      1.0000     -1.8531
