t = 0.0010
           x           u
      0.0000     -3.3314
      0.0101     -2.8393
      0.0202     -1.3632
      0.0303     -0.9995
      0.0404     -1.2599
      0.0505     -1.3307
      0.0606     -1.4632
      0.0707     -0.7913
      0.0808     -0.8661
      0.0909     -0.7398
      0.1010     -0.7559
      0.1111     -0.7116
      0.1212     -0.7645
      0.1313     -1.0562
      0.1414     -0.8887
      0.1515     -1.0513
      0.1616     -0.9700
      0.1717     -1.0770
      0.1818     -0.9864
      0.1919     -0.9477
      0.2020     -1.0780
      0.2121     -0.9469
      0.2222     -1.0834
      0.2323     -0.9553
      0.2424     -1.1034
      0.2525     -0.9554
      0.2626     -1.0989
      0.2727     -0.9669
      0.2828     -1.0938
      0.2929     -0.9810
      0.3030     -1.1061
      0.3131     -0.9742
      0.3232     -1.1234
      0.3333     -0.9809
      0.3434     -1.1242
      0.3535     -0.9931
      0.3636     -1.1131
      0.3737     -1.0011
      0.3838     -1.1424
      0.3939     -1.0008
      0.4040     -1.1409
      0.4141     -1.0327
      0.4242     -1.1426
      0.4343     -1.0197
      0.4444     -1.1328
      0.4545     -1.0587
      0.4646     -1.0263
      0.4747     -1.1778
      0.4848     -1.0542
      0.4949     -1.1853
      0.5051     -1.0634
      0.5152     -1.1902
      0.5253     -1.0693
      0.5354     -1.2121
      0.5455     -1.0856
      0.5556     -1.2405
      0.5657     -1.1933
      0.5758     -1.1219
      0.5859     -1.2337
      0.5960     -1.1231
      0.6061     -1.1630
      0.6162     -1.1102
      0.6263     -1.2525
      0.6364     -1.1380
      0.6465     -1.2559
      0.6566     -1.1445
      0.6667     -1.2232
      0.6768     -1.1403
      0.6869     -1.0741
      0.6970     -1.2409
      0.7071     -1.1703
      0.7172     -1.3125
      0.7273     -1.7167
      0.7374     -1.3129
      0.7475     -1.2008
      0.7576     -1.3354
      0.7677     -1.2376
      0.7778     -1.3598
      0.7879     -1.2315
      0.7980     -1.3889
      0.8081     -1.2570
      0.8182     -1.4047
      0.8283     -1.2647
      0.8384     -1.4185
      0.8485     -1.2851
      0.8586     -1.4184
      0.8687     -1.3294
      0.8788     -1.4421
      0.8889     -1.3220
      0.8990     -1.4702
      0.9091     -1.3373
      0.9192     -1.4894
      0.9293     -1.3638
      0.9394     -1.5027
      0.9495     -1.3288
      0.9596     -1.7008
      0.9697      0.3244
      0.9798      0.8638
      0.9899      0.8638
      1.0000      0.8638
