t = 0.7692
           x           u
      0.0000     -0.0020
      0.0101     -0.0586
      0.0202     -0.2284
      0.0303     -0.2551
      0.0404     -0.2167
      0.0505     -0.2428
      0.0606     -0.2198
      0.0707     -0.2426
      0.0808     -0.2286
      0.0909     -0.2465
      0.1010     -0.2214
      0.1111     -0.2473
      0.1212     -0.2217
      0.1313     -0.2556
      0.1414     -0.2324
      0.1515     -0.2536
      0.1616     -0.2298
      0.1717     -0.2581
      0.1818     -0.2359
      0.1919     -0.2628
      0.2020     -0.2382
      0.2121     -0.2657
      0.2222     -0.2429
      0.2323     -0.2754
      0.2424     -0.2446
      0.2525     -0.2749
      0.2626     -0.2524
      0.2727     -0.2832
      0.2828     -0.2549
      0.2929     -0.2874
      0.3030     -0.2648
      0.3131     -0.2957
      0.3232     -0.2663
      0.3333     -0.3037
      0.3434     -0.2747
      0.3535     -0.3075
      0.3636     -0.2843
      0.3737     -0.3160
      0.3838     -0.2881
      0.3939     -0.3262
      0.4040     -0.2992
      0.4141     -0.3322
      0.4242     -0.3099
      0.4343     -0.3396
      0.4444     -0.3167
      0.4545     -0.3490
      0.4646     -0.3300
      0.4747     -0.3583
      0.4848     -0.3481
      0.4949     -0.3323
      0.5051     -0.3355
      0.5152     -0.3693
      0.5253     -0.3815
      0.5354     -0.4322
      0.5455     -0.4491
      0.5556     -0.4365
      0.5657     -0.3956
      0.5758     -0.3443
      0.5859     -0.3465
      0.5960     -0.3957
      0.6061     -0.4522
      0.6162     -0.4576
      0.6263     -0.4146
      0.6364     -0.4011
      0.6465     -0.4145
      0.6566     -0.4647
      0.6667     -0.4948
      0.6768     -0.4931
      0.6869     -0.4371
      0.6970     -0.4335
      0.7071     -0.4460
      0.7172     -0.4621
      0.7273     -0.5086
      0.7374     -0.4705
      0.7475     -0.4720
      0.7576     -0.4876
      0.7677     -0.5079
      0.7778     -0.5096
      0.7879     -0.5756
      0.7980     -0.5561
      0.8081     -0.4839
      0.8182     -0.4863
      0.8283     -0.5496
      0.8384     -0.5925
      0.8485     -0.7054
      0.8586     -0.7122
      0.8687     -0.6201
      0.8788     -0.6378
      0.8889     -0.6763
      0.8990     -0.6950
      0.9091     -0.6875
      0.9192     -0.6411
      0.9293     -0.6274
      0.9394     -0.6621
      0.9495     -0.7549
      0.9596     -0.7943
      0.9697     -0.8121
      0.9798     -0.8179
      0.9899     -0.8179
      1.0000     -0.8179
